name,busbar,profile,pmax,pmin,vomc,inv_cost,candidate
Larqui 023 I,Concepcion500,Profile_ElPitio,11.6905375,0.0,0.0,0.0,False
Larqui 023 II,Concepcion500,Profile_ElPitio,20.45844063,0.0,0.0,0.0,False
Las Acacias 023 I,Polpaico500,Profile_Cintac,9.644693438,0.0,0.0,0.0,False
Las Ara�as 1 023 I,Concepcion500,Profile_ElPitio,11.39827406,0.0,0.0,0.0,False
Las Ara�as 1 13.2 I,AltoJahuel500,Profile_PV_AltoJahuel500,9.547272292,0.0,0.0,0.0,False
Las Cabras 015 I,AltoJahuel500,Profile_PV_AltoJahuel500,24.6475499,0.0,0.0,0.0,False
Las Compa�ias 13.2 I,NuevaPandeAzucar500,Profile_PV_NuevaPandeAzucar500,26.30370938,0.0,0.0,0.0,False
Las Vegas 012 I,Quillota500,Profile_PV_Quillota500,26.69339396,0.0,0.0,0.0,False
Lautaro 023 I,Mulchen500,Profile_PV_Mulchen500,8.767903126,0.0,0.0,0.0,False
Lautaro 13.2 I,Mulchen500,Profile_PV_Mulchen500,2.727792084,0.0,0.0,0.0,False
Leyda 13.2 I,Polpaico500,Profile_Cintac,8.573060834,0.0,0.0,0.0,False
Licanten 023 I,Ancoa500,Profile_Cordillerilla,8.767903126,0.0,0.0,0.0,False
Licanten 13.2 I,Ancoa500,Profile_Cordillerilla,5.84526875,0.0,0.0,0.0,False
Lihueimo 13.2 I,Polpaico500,Profile_PV_Polpaico500,14.12606615,0.0,0.0,0.0,False
Linares Norte 13.8 I,AltoJahuel500,Profile_PV_AltoJahuel500,27.76502656,0.0,0.0,0.0,False
Linares Norte 13.8 II,AltoJahuel500,Profile_PV_AltoJahuel500,36.53292969,0.0,0.0,0.0,False
Lo Aguirre 012 I,Polpaico500,Profile_Cintac,8.767903126,0.0,0.0,0.0,False
Lo Boza 012 I,Polpaico500,Profile_Cintac,8.767903126,0.0,0.0,0.0,False
Lo Boza 023 I,Polpaico500,Profile_PV_Polpaico500,32.92834729,0.0,0.0,0.0,False
Lo Boza 023 II,Polpaico500,Profile_PV_Polpaico500,41.69625042,0.0,0.0,0.0,False
